Период (ч);Измерений;Среднее ($);Мин ($);Макс ($)
1;70124;1,43;-8633,82;6066,15
2;70122;2,87;-7608,29;6665,76
3;70120;4,32;-9180,17;8986,3
4;70118;5,79;-9718,66;8382,94
5;70116;7,25;-10636,77;8414,55
6;70114;8,7;-10820,77;9222,55
7;70112;10,14;-12782,92;9190,55
8;70110;11,57;-13543,23;9139,95
9;70108;13;-13112,31;9162,55
10;70106;14,43;-13017,72;8559,19
11;70104;15,88;-12901,91;8444,68
12;70102;17,35;-13322,24;8575,29
13;70100;18,85;-12847,8;8543,29
14;70098;20,36;-12881,47;8592
15;70096;21,88;-13094,79;9093,47
16;70094;23,41;-12938,78;8577,2
17;70092;24,95;-12855,98;9016,02
18;70090;26,5;-13006,82;8909,09
19;70088;28,05;-12917,55;8541,99
20;70086;29,61;-13379,61;8645,67
21;70084;31,19;-13431,65;8670,99
22;70082;32,78;-13074,81;8660,18
23;70080;34,37;-13111,96;8766,18
24;70078;35,95;-12901,67;8879,05
